Designator,Mid X,Mid Y,Rotation,Layer
ANT1,57.95599,-34.257421,270.0,top
C1,53.476102,-31.21801,315.0,top
C10,52.04942,-36.77041,135.0,top
C11,43.22399,-31.28401,315.0,top
C12,54.39999,-40.93601,90.0,top
C13,49.31999,-40.93601,270.0,top
C14,45.327631,-37.211421,135.0,top
C15,43.87062,-36.46561,45.0,top
C2,52.044491,-34.007265,135.0,top
C3,46.77999,-39.66601,90.0,top
C4,38.14399,-31.79201,0.0,top
C5,43.1292,-37.8968,180.0,top
C6,44.74799,-31.28401,315.0,top
C7,49.67559,-30.77601,0.0,top
C8,51.26202,-32.55401,225.0,top
C9,52.76062,-35.39881,225.0,top
D1,48.04999,-40.30101,270.0,top
J1,34.15469,-36.11001,270.0,top
J2,44.23999,-44.49201,270.0,bottom
J3,44.23999,-27.72801,90.0,bottom
L1,52.755691,-32.617243,225.0,top
L2,51.60599,-30.77601,0.0,top
LED1,30.65099,-41.95201,0.0,top
LED2,30.65099,-30.26801,0.0,top
R1,38.39799,-34.07801,90.0,top
R10,43.22399,-34.33201,315.0,top
R2,38.39799,-38.37001,270.0,top
R3,38.65199,-36.66881,0.0,top
R4,38.65199,-35.60201,0.0,top
R5,38.39799,-40.93601,270.0,top
R6,38.14399,-30.72521,0.0,top
R7,33.545193,-41.44401,180.0,top
R8,33.57199,-30.77601,0.0,top
R9,43.22399,-32.80801,315.0,top
SW1,40.60779,-32.98581,90.0,top
SW2,40.60779,-39.23421,270.0,top
U1,44.19189,-40.099421,180.0,top
U2,48.001609,-34.896451,315.0,top
Y1,51.85999,-40.17401,180.0,top
